,M
721,-0.011575138386383792
722,-0.010052211215104329
723,-0.008494050301679218
724,-0.006906910789431076
725,-0.0052971436990782
726,-0.0036711706149280274
727,-0.002035458167645474
728,-0.0003964924146030666
729,0.0012392467810760043
730,0.0028653112719583046
731,0.004475309948090647
732,0.006062933760080703
733,0.0076219803458733295
734,0.009146378165472296
735,0.010630210050065488
736,0.01206773607459274
737,0.013453415665714823
738,0.014781928860407469
739,0.01604819663398595
740,0.017247400220265982
741,0.01837499935074651
742,0.019426749344166563
743,0.020398716982505994
744,0.021287295114454968
745,0.022089215932552267
746,0.022801562875562627
747,0.02342178111320787
748,0.02394768657606472
749,0.024377473499270972
750,0.024709720454613626
751,0.024943394851591957
752,0.0250778558941239
753,0.025112855985673872
754,0.02504854058170602
755,0.024885446494472014
756,0.024624498661217877
757,0.02426700539290285
758,0.023814652126453072
759,0.02326949370938988
760,0.022633945251365698
761,0.02191077158267523
762,0.021103075365176784
763,0.02021428390623081
764,0.01924813473121761
765,0.018208659974925084
766,0.017100169656569915
767,0.015927233907426626
768,0.014694664223961294
769,0.013407493822997912
770,0.01207095717875856
771,0.010690468824616313
772,0.009271601505056768
773,0.00782006376566196
774,0.006341677070894854
775,0.004842352541070088
776,0.0033280674011372416
777,0.0018048412347816763
778,0.0002787121378503746
779,-0.001244287134753285
780,-0.002758152934798954
781,-0.0042569343057790015
782,-0.005734756294945715
783,-0.007185842901330099
784,-0.008604539570423298
785,-0.009985335148229179
786,-0.01132288320976428
787,-0.012612022679778455
788,-0.013847797666476553
789,-0.01502547643233898
790,-0.016140569429738648
791,-0.01718884633293111
792,-0.018166352002130712
793,-0.01906942131975973
794,-0.019894692843561546
795,-0.020639121226072154
796,-0.021299988354935705
797,-0.021874913173705074
798,-0.022361860148071813
799,-0.02275914634788937
800,-0.023065447120884465
801,-0.023279800339553038
802,-0.023401609208402327
803,-0.023430643624398322
804,-0.023367040089189398
805,-0.02321130017737635
806,-0.022964287570769678
807,-0.022627223674188703
808,-0.022201681833894576
809,-0.0216895801851916
810,-0.021093173161049833
811,-0.02041504169878611
812,-0.019658082186862054
813,-0.018825494198701043
814,-0.017920767065071886
815,-0.01694766534101893
816,-0.015910213227516807
817,-0.014812678011978407
818,-0.013659552595435151
819,-0.01245553717761889
820,-0.011205520174298133
821,-0.00991455844404475
822,-0.008587856904117088
823,-0.0072307476173371745
824,-0.005848668433704047
825,-0.004447141272014446
826,-0.0030317501279504273
827,-0.0016081188959446216
828,-0.00018188909262955915
829,0.0012413024301617295
830,0.002655845695072721
831,0.004056179644339305
832,0.00543681393398643
833,0.00679235039196005
834,0.008117504056596054
835,0.009407123713699124
836,0.010656211852692351
837,0.011859943964791467
838,0.013013687108950227
839,0.014113017674398057
840,0.01515373827193944
841,0.01613189368978817
842,0.017043785853561148
843,0.017885987734128302
844,0.0186553561513072
845,0.01934904342586492
846,0.019964507836951417
847,0.020499522846894692
848,0.020952185060241733
849,0.021320920888993896
850,0.02160449190114738
851,0.021801998834894247
852,0.021912884266130174
853,0.021936933922251614
854,0.021874276640564915
855,0.021725382974971914
856,0.021491062459903957
857,0.021172459545736537
858,0.020771048225110007
859,0.020288625374680663
860,0.019727302841821216
861,0.019089498310649544
862,0.018377924986483295
863,0.01759558014236441
864,0.016745732575666257
865,0.015831909026961268
866,0.014857879617277012
867,0.013827642363589396
868,0.012745406835876582
869,0.011615577022272231
870,0.010442733471806227
871,0.009231614786885146
872,0.007987098540042904
873,0.006714181691566462
874,0.005417960586371223
875,0.004103610609962074
876,0.0027763655844498933
877,0.0014414969864164778
878,0.00010429306891293847
879,-0.0012299620299536253
880,-0.0025560091095430683
881,-0.0038686345784955407
882,-0.005162690894809081
883,-0.006433116694276999
884,-0.007674956528802983
885,-0.008883380137845938
886,-0.010053701178277976
887,-0.011181395340253593
888,-0.01226211777928992
889,-0.013291719797620187
890,-0.014266264711006114
891,-0.015182042840559738
892,-0.016035585572718548
893,-0.0168236784343277
894,-0.017543373133792315
895,-0.01819199852345007
896,-0.018767170442677755
897,-0.0192668004057444
898,-0.019689103103065025
899,-0.020032602689253307
900,-0.020296137836214288
901,-0.020478865534431193
902,-0.02058026363057031
903,-0.02060013209452984
904,-0.020538593014076387
905,-0.0203960893202265
906,-0.020173382251516204
907,-0.019871547570248605
908,-0.019491970548685802
909,-0.019036339747951155
910,-0.018506639617104
911,-0.017905141944423525
912,-0.017234396197379605
913,-0.016497218792052938
914,-0.01569668133688002
915,-0.014836097899527513
916,-0.013919011349425192
917,-0.012949178831997862
918,-0.011930556433917458
919,-0.010867283101736338
920,-0.009763663879050978
921,-0.008624152529867883
922,-0.007453333618096602
923,-0.006255904115065784
924,-0.005036654608641389
925,-0.003800450188916785
926,-0.002552211086536405
927,-0.0012968931405043977
928,-3.946817281453312e-05
929,0.0012150956525790247
930,0.002461853409060356
931,0.003695902847953989
932,0.00491240362420051
933,0.00610659623190143
934,0.007273820575853305
935,0.00840953410680044
936,0.009509329450026695
937,0.010568951459068833
938,0.01158431362876118
939,0.01255151380449888
940,0.013466849127530846
941,0.014326830159240548
942,0.015128194130743853
943,0.015867917267704073
944,0.016543226144019336
945,0.0171516080219788
946,0.01769082014056567
947,0.0181588979178227
948,0.01855416203754957
949,0.01887522439506345
950,0.019120992881305334
951,0.019290674989197603
952,0.019383780230831475
953,0.019400121358772376
954,0.01933981438949317
955,0.019203277431667234
956,0.018991228326751736
957,0.018704681113946367
958,0.018344941336218945
959,0.01791360020860414
960,0.017412527674418414
961,0.016843864379347307
962,0.016210012597552274
963,0.015513626147990981
964,0.014757599343029964
965,0.013945055015139929
966,0.013079331670986316
967,0.012163969825549419
968,0.011202697572011512
969,0.010199415446029408
970,0.009158180645650353
971,0.008083190670525469
972,0.006978766446212782
973,0.005849335001234246
974,0.004699411766158742
975,0.0035335825653071457
976,0.0023564853727246825
977,0.0011727919048265887
978,-1.2810877399981074e-05
979,-0.0011956392835679747
980,-0.002371031353466676
981,-0.0035343651884581187
982,-0.004681077082783844
983,-0.0058066793838230145
984,-0.006906778011574902
985,-0.00797708956913891
986,-0.009013457977734405
987,-0.01001187057182443
988,-0.010968473592182346
989,-0.011879587017252386
990,-0.01274171867589736
991,-0.01355157758758459
992,-0.014306086479228245
993,-0.015002393431261491
994,-0.015637882609049965
995,-0.016210184039458814
996,-0.01671718239623459
997,-0.0171570247618525
998,-0.017528127337577862
999,-0.017829181077699836
1000,-0.01805915622818394
1001,-0.018217305754347907
1002,-0.01830316764657604
1003,-0.01831656609752746
1004,-0.018257611548753914
1005,-0.018126699609096703
1006,-0.017924508851671347
1007,-0.017651997500645254
1008,-0.01731039902336515
1009,-0.01690121664765872
1010,-0.016426216828329444
1011,-0.01588742169094133
1012,-0.015287100484957593
1013,-0.0146277600821242
1014,-0.013912134559668318
1015,-0.013143173911395975
1016,-0.012324031933112413
1017,-0.01145805333193312
1018,-0.010548760112000875
1019,-0.009599837291854266
1020,-0.00861511801120397
1021,-0.007598568087144038
1022,-0.006554270081865967
1023,-0.005486406945720518
1024,-0.004399245301011487
1025,-0.0032971184331663747
1026,-0.0021844090569392055
1027,-0.001065531926033411
1028,5.5083645001222084e-05
1029,0.0011730112775511863
1030,0.0022838449754341273
1031,0.0033832164524888017
1032,0.004466812273263813
1033,0.005530390739692951
1034,0.0065697984577962895
1035,0.007580986519848193
1036,0.008560026239110985
1037,0.00950312437613603
1038,0.010406637797763746
1039,0.011267087512324945
1040,0.012081172027119627
1041,0.012845779977040691
1042,0.01355800197618982
1043,0.014215141647498757
1044,0.01481472578870383
1045,0.015354513636514772
1046,0.0158325051944512
1047,0.016246948593584495
1048,0.01659634645929675
1049,0.016879461261142592
1050,0.017095319626951322
1051,0.01724321560642996
1052,0.017322712873693087
1053,0.01733364586234923
1054,0.01727611983098901
1055,0.01715050986113753
1056,0.01695745879393308
1057,0.01669787411595895
1058,0.016372923808772078
1059,0.015984031180719033
1060,0.015532868703600678
1061,0.01502135088061411
1062,0.0144516261757597
1063,0.013826068038530476
1064,0.013147265061193692
1065,0.012418010309306062
1066,0.011641289869275356
1067,0.01082027065976932
1068,0.009958287556571122
1069,0.009058829883077607
1070,0.00812552732102347
1071,0.007162135298179022
1072,0.006172519911711021
1073,0.005160642447593961
1074,0.004130543557925618
1075,0.0030863271592124035
